#Cerebus mapping for array 0906098-SE/SN0552
8 9 A 14 elee99
7 9 A 10 elee98
6 9 A 8 elee97
5 9 A 6 elee96
4 9 A 4 elee95
3 9 A 3 elee94
2 9 A 1 elee93
1 9 A 2 elee92
9 8 A 18 elee90
8 8 A 16 elee89
7 8 A 12 elee88
6 8 A 11 elee87
5 8 A 9 elee86
4 8 A 7 elee85
3 8 B 2 elee84
2 8 B 1 eleeB3
1 8 C 2 elee82
0 8 C 1 elee81
9 7 A 22 elee8O
8 7 A 20 elee79
7 7 A 23 elee78
6 7 A 13 elee77
5 7 A 17 elee76
4 7 A 5 elee75
3 7 B 4 elee74
2 7 B 3 elee73
1 7 C 4 elee72
0 7 C 3 elee71
9 6 A 24 elee70
8 6 A 27 elee69
7 6 A 25 elee68
6 6 A 19 elee67
5 6 A 15 elee66
4 6 B 16 elee65
3 6 B 6 elee64
2 6 B 5 elee63
1 6 C 6 elee62
0 6 C 5 elee61
9 5 A 26 elee60
8 5 A 29 elee59
7 5 A 21 elee58
6 5 B 22 elee57
5 5 B 18 elee56
4 5 B 10 elee55
3 5 B 8 elee54
2 5 B 7 elec53
1 5 C 8 elec52
0 5 C 7 elec51
9 4 A 28 elec50
8 4 A 31 elec49
7 4 B 30 elec48
6 4 B 20 elec47
5 4 B 14 elec46
4 4 B 12 elec45
3 4 B 11 elec44
2 4 B 9 elec43
1 4 C 10 elec42
0 4 C 9 elec41
9 3 A 30 elec40
8 3 B 32 elec39
7 3 B 28 elec38
6 3 B 26 elec37
5 3 B 24 elec36
4 3 B 19 elec35
3 3 B 15 elec34
2 3 B 13 elec33
1 3 C 12 elec32
0 3 C 11 elec31
9 2 A 32 elec30
8 2 B 29 elec29
7 2 B 27 elec28
6 2 B 25 elec27
5 2 B 23 elec26
4 2 B 21 elec25
3 2 B 17 elec24
2 2 C 18 elec23
1 2 C 14 elec22
0 2 C 13 elec21
9 1 C 31 elec20
8 1 B 31 elec19
7 1 C 30 elec18
6 1 C 27 elec17
5 1 C 25 elec16
4 1 C 23 elec15
3 1 C 22 elec14
2 1 C 20 elec13
1 1 C 16 elec12
0 1 C 15 elec11
8 0 C 32 elec9
7 0 C 29 elec8
6 0 C 28 elec7
5 0 C 26 elec6
4 0 C 24 elec5
3 0 C 21 elec4
2 0 C 19 elec3
1 0 C 17 elec2
