* PRNDP
* NG = [85, 107, 121, 133, 155, 159, 171, 172, 191, 192, 206, 249, 255, 266]
0-Based selected 128 (n_A=39, n_M=19, n_P=70):
[61 28 59 63 56 60 58 23 26 25 27 57 54 30 55 19 53 21 20 51 86 50 24 29 93
 17 49 41 90 15 18 22 40 52 46 39 91 43 87]
[106 190 117 121 107 172 123 191 105 125 118 104 122 166 160 101 158 188
 103]
[280 283 287 253 224 286 281 279 209 266 248 250 223 221 207 252 284 219
 214 202 241 268 272 285 192 213 210 222 251 211 254 237 233 282 204 215
 193 217 216 249 205 212 246 278 199 206 255 243 276 194 226 238 208 263
 265 231 275 277 269 244 232 218 228 227 274 201 235 220 247 260]

No good channels (0-based): [106, 158, 190, 191, 205, 248, 254, 265]

cv-dprime values:
dv-dpime 	 ch(0-based) 	 Arr
4.33494256715 	61 	A
4.13102928358 	28 	A
4.03764433455 	280 	P
3.99380360678 	59 	A
3.86703660179 	283 	P
3.70182785135 	287 	P
3.64472220406 	253 	P
3.51213559486 	224 	P
3.39386741758 	286 	P
3.38560802566 	281 	P
3.30955701074 	63 	A
3.21379767401 	279 	P
3.17854725947 	209 	P
3.13344251751 	266 	P
3.04279244446 	248 	P
3.03922471311 	250 	P
2.89181914261 	56 	A
2.84686516161 	223 	P
2.7606134677 	60 	A
2.66669249506 	221 	P
2.66091363802 	207 	P
2.55632928092 	58 	A
2.55014687902 	23 	A
2.49779637156 	26 	A
2.40449052288 	25 	A
2.31259488959 	252 	P
2.31240396472 	27 	A
2.26149510673 	57 	A
2.15208416757 	54 	A
2.1470802736 	284 	P
2.08376788844 	219 	P
2.02718541577 	214 	P
1.96727059451 	202 	P
1.96714264029 	241 	P
1.96512474264 	30 	A
1.89582553631 	268 	P
1.86254064096 	272 	P
1.84156399538 	285 	P
1.83683229822 	55 	A
1.83248609454 	192 	P
1.77615042192 	213 	P
1.73579904741 	106 	M
1.6720709227 	210 	P
1.64447782035 	190 	M
1.63984841959 	19 	A
1.63010778792 	222 	P
1.60824704386 	53 	A
1.5982192909 	21 	A
1.58552521466 	20 	A
1.54210230936 	251 	P
1.51105733244 	51 	A
1.49992276265 	211 	P
1.48966861794 	254 	P
1.46510143489 	237 	P
1.46439188448 	233 	P
1.4627205944 	282 	P
1.44600187044 	117 	M
1.43389596622 	204 	P
1.42712747157 	215 	P
1.41532074307 	121 	M
1.40273763365 	86 	A
1.40009784608 	50 	A
1.37577591063 	107 	M
1.36229384656 	193 	P
1.33193593951 	217 	P
1.32647461057 	216 	P
1.32093893007 	249 	P
1.31398483944 	24 	A
1.26052297656 	205 	P
1.2374734353 	212 	P
1.23106347262 	29 	A
1.19296799504 	172 	M
1.18805403733 	123 	M
1.18213791954 	191 	M
1.17866658705 	246 	P
1.17706098106 	278 	P
1.16904147178 	93 	A
1.16423559413 	199 	P
1.16394709388 	17 	A
1.15925232117 	206 	P
1.15289011003 	255 	P
1.13068204184 	49 	A
1.10880011511 	243 	P
1.1033744535 	41 	A
1.10310669916 	276 	P
1.09404425858 	90 	A
1.08328325749 	15 	A
1.07698031056 	18 	A
1.06558134713 	105 	M
1.05694719292 	125 	M
1.05323451629 	194 	P
1.0522355123 	226 	P
1.05219698432 	238 	P
1.0471952805 	118 	M
1.03626880979 	208 	P
1.02559745387 	22 	A
1.0160898235 	263 	P
0.997153946854 	104 	M
0.991757310473 	40 	A
0.990784693449 	265 	P
0.989543811028 	231 	P
0.984176965 	275 	P
0.982363693083 	277 	P
0.976547929336 	269 	P
0.961302817099 	244 	P
0.949038473643 	232 	P
0.939637092505 	52 	A
0.926757153128 	218 	P
0.923222587692 	46 	A
0.917985933099 	228 	P
0.914283527949 	227 	P
0.895571035761 	274 	P
0.893085701288 	39 	A
0.880913310989 	122 	M
0.87703999575 	91 	A
0.871744773634 	201 	P
0.860998192068 	235 	P
0.860364551571 	220 	P
0.84925453218 	247 	P
0.848058922302 	166 	M
0.847055741577 	160 	M
0.840513250794 	101 	M
0.835881096683 	158 	M
0.829157815842 	43 	A
0.827673014799 	260 	P
0.825426533482 	87 	A
0.824305984831 	188 	M
0.821353961301 	103 	M
