* PRNDP
0-Based selected 128 (n_A=40, n_M=70, n_P=18):
[91 95 57 56  5 58 92 31 75 89 86 62 59 55  7 81 47 48 52 13 15 63 21 88  9
 49  0 54 12 78 29 14 27 53 25 23 17 85 94  4]
[185 186 153 138 183 140 149 178 150 176 181 172 155 120 189 123 108 180
 184 174 113 182 105 188 148 145 125 158 107 187 116 126 112 121 173 135
 157 191 117 137 175 171 111 167 190 152 134 177 147 139 124 165 100 136
 106 141 151 118 166 104 114 168 142 115 179 133 132 169 122 144]
[250 223 268 282 284 254 248 286 287 246 252 245 285 219 255 218 283 222]

No good channels (0-based): []

cv-dprime values:
dv-dpime 	 ch(0-based) 	 Arr
5.86326950704 	185 	M
4.76885196354 	186 	M
4.47761242649 	153 	M
4.33610659282 	138 	M
4.14676595084 	183 	M
3.99703445994 	140 	M
3.53436864957 	149 	M
3.51159786504 	178 	M
3.47707283104 	150 	M
3.43953659326 	176 	M
3.40086590243 	181 	M
3.16496390852 	172 	M
3.09629583619 	155 	M
3.04115672687 	120 	M
2.91602991226 	91 	A
2.8549572009 	189 	M
2.8285901522 	123 	M
2.79150814482 	250 	P
2.77357245676 	108 	M
2.71737240497 	95 	A
2.70163625405 	180 	M
2.68932220218 	184 	M
2.66960992678 	174 	M
2.63403066284 	57 	A
2.61253739627 	113 	M
2.57881329612 	56 	A
2.50933636309 	5 	A
2.48443095152 	182 	M
2.39438280739 	105 	M
2.34231361957 	188 	M
2.30621290302 	148 	M
2.26433061156 	58 	A
2.26272500113 	145 	M
2.20480679061 	125 	M
2.18986251669 	92 	A
2.15291227597 	158 	M
2.13200397552 	107 	M
2.1122131465 	187 	M
2.10789453363 	116 	M
2.08733315858 	126 	M
2.08146298864 	112 	M
2.0756099577 	121 	M
2.06161410864 	173 	M
2.05662614952 	31 	A
2.04751192855 	135 	M
2.04686055215 	157 	M
2.03224712682 	75 	A
2.02943426194 	89 	A
2.02743567556 	86 	A
2.0103782013 	191 	M
1.9994599683 	62 	A
1.99636875203 	223 	P
1.99265863614 	117 	M
1.98648363571 	137 	M
1.97676026169 	175 	M
1.96744025943 	59 	A
1.95519218937 	55 	A
1.94040717895 	171 	M
1.9319306507 	7 	A
1.92469730576 	111 	M
1.91373933815 	167 	M
1.9105927998 	81 	A
1.90362290153 	190 	M
1.86933212778 	152 	M
1.86731700081 	47 	A
1.84808068456 	268 	P
1.84171675873 	282 	P
1.82834768012 	134 	M
1.81317661612 	177 	M
1.80267222981 	48 	A
1.77724581215 	52 	A
1.76748661845 	13 	A
1.76115459783 	147 	M
1.74521432227 	284 	P
1.74389799696 	15 	A
1.74106711414 	139 	M
1.69797540963 	63 	A
1.69423342713 	124 	M
1.69202718691 	254 	P
1.6699437167 	21 	A
1.66609995642 	165 	M
1.66533014798 	248 	P
1.65774287137 	100 	M
1.64510601877 	136 	M
1.6387126632 	286 	P
1.62903491229 	287 	P
1.62778196038 	88 	A
1.62095279121 	106 	M
1.61395932067 	141 	M
1.60064546006 	9 	A
1.59092713683 	49 	A
1.58580060928 	151 	M
1.58127901302 	118 	M
1.57563170343 	0 	A
1.56321209962 	54 	A
1.54338215026 	166 	M
1.53391069282 	104 	M
1.52670952384 	114 	M
1.52245390682 	246 	P
1.51679895175 	252 	P
1.51520871625 	12 	A
1.51200315466 	78 	A
1.50774235112 	168 	M
1.48547768219 	29 	A
1.459040703 	245 	P
1.44279276192 	142 	M
1.44218893843 	14 	A
1.42324712776 	285 	P
1.40858820145 	219 	P
1.40145662871 	115 	M
1.39951113712 	179 	M
1.39371899959 	133 	M
1.37644300255 	132 	M
1.35449443892 	169 	M
1.34282531599 	27 	A
1.33620899642 	255 	P
1.32600926713 	218 	P
1.31842581515 	53 	A
1.31392263362 	283 	P
1.28849740214 	25 	A
1.25458080524 	122 	M
1.24711413447 	144 	M
1.24092130193 	23 	A
1.19623830246 	17 	A
1.16752198265 	85 	A
1.16084022565 	94 	A
1.14142098822 	4 	A
1.13722069237 	222 	P
