output_elec_id,array,original_elec_id_in_the_array
1,M,5
2,M,9
3,M,10
4,M,11
5,M,12
6,M,13
7,M,16
8,M,17
9,M,18
10,M,19
11,M,20
12,M,21
13,M,22
14,M,23
15,M,25
16,M,26
17,M,27
18,M,28
19,M,29
20,M,30
21,M,31
22,M,37
23,M,38
24,M,39
25,M,40
26,M,41
27,M,42
28,M,43
29,M,44
30,M,45
31,M,46
32,M,47
33,M,52
34,M,50
35,M,49
36,P,27
37,P,28
38,P,31
39,P,32
40,P,59
41,P,57
42,P,55
43,P,54
44,A,1
45,A,5
46,A,6
47,A,8
48,A,10
49,A,13
50,A,14
51,A,15
52,A,16
53,A,18
54,A,22
55,A,24
56,A,26
57,A,28
58,A,30
59,A,32
60,A,48
61,A,54
62,A,53
63,A,50
64,A,49
65,A,55
66,A,56
67,A,57
68,A,58
69,A,59
70,A,60
71,A,63
72,A,64
73,A,76
74,A,79
75,A,82
76,A,86
77,A,87
78,A,89
79,A,90
80,A,92
81,A,93
82,A,95
83,A,96
84,P,61
85,P,63
86,P,64
87,P,77
88,P,91
89,P,92
90,P,93
91,P,94
92,P,95
93,P,96
94,M,53
95,M,54
96,M,55
97,M,56
98,M,57
99,M,58
100,M,60
101,M,62
102,M,63
103,M,70
104,M,71
105,M,72
106,M,73
107,M,74
108,M,76
109,M,77
110,M,78
111,M,79
112,M,80
113,M,81
114,M,82
115,M,83
116,M,84
117,M,85
118,M,86
119,M,87
120,M,88
121,M,89
122,M,90
123,M,91
124,M,92
125,M,93
126,M,94
127,M,95
128,M,96
