* PRNDP
* TOPN = 222
0-Based selected 222 (n_A=45, n_M=94, n_P=83):
[15 53 45  5 58  7 24 17 30 39 59 51 18  8 33 27  2 60 52 20 55 11 23 62  9
  0 49 31 93 94 14 61 28 56 84 42 25 64 19 46  1 13 90 26 92]
[184 145 141 143 187 122 152 150 182 170 154 128 189 124 191 146 156 108
 158 117 159 149 129 188 151 121 132 167 119 120 171 111 118 138 161  97
 148 183 113 139  96 133 185 153 134 115 137 157 155  99 176 116 109 169
 110 168 147 123 178 136 127 126 114 186 102 175 144 142 164 130 131 190
 125 174 135 165 173 180 103 101 166 181  98 140 106 100 105 163 177 112
 172 107 104 179]
[222 223 262 210 271 211 218 206 249 255 257 251 228 266 205 213 215 270
 235 261 253 209 195 203 274 207 208 256 220 219 268 252 248 217 225 226
 260 227 199 233 258 286 241 200 283 287 264 192 237 202 230 263 267 243
 284 231 212 276 197 239 246 204 201 229 275 259 198 214 277 265 224 194
 196 245 278 193 285 281 269 282 236 250 280]

No good channels (0-based): []

cv-dprime values:
dv-dpime 	 ch(0-based) 	 Arr
3.34772044757 	184 	M
3.31205668108 	145 	M
2.91465611074 	141 	M
2.89438912632 	143 	M
2.85177319855 	15 	A
2.76948138162 	187 	M
2.69956986304 	122 	M
2.67023438868 	152 	M
2.62244561167 	150 	M
2.59118965909 	182 	M
2.57994549756 	170 	M
2.54510914642 	154 	M
2.53843990979 	128 	M
2.47389901866 	53 	A
2.44422720057 	189 	M
2.3956029606 	124 	M
2.3276813912 	191 	M
2.30979844535 	146 	M
2.286041807 	156 	M
2.28083815755 	108 	M
2.27292794488 	158 	M
2.21981959205 	117 	M
2.16038597537 	159 	M
2.15192118644 	149 	M
2.12417021408 	129 	M
2.10528091679 	188 	M
2.09157329556 	151 	M
2.07792639094 	121 	M
2.07756992495 	132 	M
2.07592366741 	167 	M
2.01641065561 	119 	M
1.98048346216 	120 	M
1.94046446053 	171 	M
1.9241923065 	111 	M
1.92391596558 	118 	M
1.91854743102 	138 	M
1.89945348439 	161 	M
1.87716739831 	97 	M
1.86704818984 	148 	M
1.85294797189 	183 	M
1.81629288895 	113 	M
1.81013864681 	139 	M
1.80642380209 	96 	M
1.78832851928 	133 	M
1.78686720066 	45 	A
1.77543090357 	185 	M
1.76666818379 	153 	M
1.74089259135 	134 	M
1.71826307805 	222 	P
1.67995867393 	5 	A
1.60645539912 	115 	M
1.58171247645 	137 	M
1.5786910247 	157 	M
1.55108078958 	223 	P
1.5506893688 	155 	M
1.53450075108 	99 	M
1.5226342549 	176 	M
1.51659145233 	262 	P
1.50021761881 	116 	M
1.48521740189 	58 	A
1.48292870393 	109 	M
1.48194889117 	169 	M
1.4505503781 	110 	M
1.44124543187 	7 	A
1.42361754751 	168 	M
1.39280282165 	147 	M
1.37748535056 	123 	M
1.35636924822 	178 	M
1.33782641571 	210 	P
1.30521371731 	271 	P
1.29833882619 	211 	P
1.29225670133 	136 	M
1.2828788973 	127 	M
1.27942901883 	126 	M
1.27814826725 	114 	M
1.27672290329 	24 	A
1.24720309953 	17 	A
1.24519946409 	186 	M
1.24300273939 	102 	M
1.24285560758 	175 	M
1.23210173044 	144 	M
1.21533238267 	142 	M
1.21119350129 	218 	P
1.18158986141 	164 	M
1.16825697174 	130 	M
1.13228417134 	206 	P
1.10624736729 	30 	A
1.09486510124 	131 	M
1.08641978007 	190 	M
1.08546290327 	125 	M
1.08441274697 	249 	P
1.0714387287 	39 	A
1.04393171941 	255 	P
1.03283245276 	257 	P
1.03090735053 	174 	M
1.02953633769 	251 	P
1.02294254902 	228 	P
1.00882042503 	266 	P
1.00423399682 	135 	M
0.999708451929 	59 	A
0.998146532706 	205 	P
0.990977402683 	213 	P
0.970735457106 	165 	M
0.969986354876 	173 	M
0.966666295224 	51 	A
0.961737131341 	180 	M
0.960434473244 	103 	M
0.942231506928 	215 	P
0.912466793329 	270 	P
0.904207591633 	101 	M
0.903722647101 	235 	P
0.898754840651 	261 	P
0.898652441368 	253 	P
0.890354767432 	18 	A
0.888447922214 	209 	P
0.882709109497 	166 	M
0.852602721194 	181 	M
0.849567821869 	195 	P
0.838586739754 	98 	M
0.836781772452 	140 	M
0.836066360644 	203 	P
0.834731060343 	106 	M
0.830480794831 	274 	P
0.83044750214 	207 	P
0.81893553839 	208 	P
0.814855667371 	256 	P
0.810753477126 	8 	A
0.806459099934 	220 	P
0.802719781867 	219 	P
0.798359659807 	33 	A
0.794695992408 	268 	P
0.792072035747 	27 	A
0.781676198135 	2 	A
0.775757718136 	100 	M
0.76442602163 	252 	P
0.759659211296 	248 	P
0.756113489655 	217 	P
0.752005235405 	225 	P
0.748352640833 	60 	A
0.743091576437 	52 	A
0.736043929247 	226 	P
0.714138975528 	260 	P
0.702142765228 	227 	P
0.691641540545 	20 	A
0.685092308328 	199 	P
0.681723278805 	105 	M
0.661558316554 	55 	A
0.656080769514 	163 	M
0.647077060173 	233 	P
0.629722985376 	11 	A
0.624230968864 	23 	A
0.62239919667 	258 	P
0.622245690569 	286 	P
0.618652455471 	241 	P
0.617941881706 	177 	M
0.617322914645 	200 	P
0.616040339867 	283 	P
0.612429507418 	287 	P
0.609403316965 	264 	P
0.607898820962 	192 	P
0.606854468192 	237 	P
0.603647246587 	62 	A
0.600498924819 	9 	A
0.592508492794 	202 	P
0.588857956193 	230 	P
0.582040490042 	112 	M
0.579680219872 	263 	P
0.575526363397 	267 	P
0.571782449733 	243 	P
0.569291554262 	284 	P
0.56654283378 	231 	P
0.558134348153 	172 	M
0.553350917463 	212 	P
0.533115349258 	0 	A
0.526826058885 	107 	M
0.522817069598 	49 	A
0.517682036703 	276 	P
0.515130523041 	31 	A
0.514126645822 	93 	A
0.512349994242 	104 	M
0.510973174919 	197 	P
0.501790843503 	239 	P
0.500462792049 	246 	P
0.493991901786 	179 	M
0.485040904029 	94 	A
0.484230962283 	14 	A
0.482585582095 	204 	P
0.476190278809 	201 	P
0.472831729825 	61 	A
0.470430740099 	229 	P
0.464647945313 	275 	P
0.463674407264 	28 	A
0.463190386293 	259 	P
0.457437355149 	56 	A
0.456751904188 	84 	A
0.454738635276 	198 	P
0.453829787176 	42 	A
0.452244481137 	25 	A
0.450682903501 	64 	A
0.446538998545 	19 	A
0.440467742614 	46 	A
0.439264325365 	214 	P
0.438259987156 	277 	P
0.434260764794 	1 	A
0.420161043495 	265 	P
0.412775894024 	224 	P
0.409475797126 	194 	P
0.406537620269 	196 	P
0.398675474782 	245 	P
0.398588095379 	278 	P
0.389799102852 	13 	A
0.389515836566 	193 	P
0.37148256025 	90 	A
0.366826264772 	285 	P
0.366651990139 	281 	P
0.363611490782 	269 	P
0.363298168672 	282 	P
0.348836254182 	26 	A
0.348474077398 	236 	P
0.341766039538 	92 	A
0.341680632767 	250 	P
0.333954629543 	280 	P
