output_elec_id,array,original_elec_id_in_the_array
1,P,1
2,P,2
3,P,3
4,P,4
5,P,5
6,P,6
7,P,7
8,P,8
9,P,9
10,P,10
11,P,11
12,P,12
13,P,13
14,P,14
15,P,15
16,P,16
17,P,17
18,P,18
19,P,19
20,P,20
21,P,21
22,P,22
23,P,23
24,P,24
25,P,26
26,P,27
27,P,28
28,P,29
29,P,31
30,P,32
31,P,33
32,P,34
33,P,35
34,P,36
35,P,37
36,P,38
37,P,39
38,P,40
39,P,42
40,P,44
41,A,1
42,A,2
43,A,3
44,A,6
45,A,8
46,A,9
47,A,10
48,A,12
49,A,14
50,A,15
51,A,16
52,A,18
53,A,19
54,A,20
55,A,21
56,A,24
57,A,25
58,A,26
59,A,27
60,A,28
61,A,29
62,A,31
63,A,32
64,A,34
65,A,47
66,A,46
67,A,43
68,A,40
69,A,50
70,A,52
71,A,53
72,A,54
73,A,56
74,A,57
75,A,59
76,A,60
77,A,61
78,A,62
79,A,63
80,A,65
81,A,85
82,A,91
83,A,93
84,A,94
85,A,95
86,P,48
87,P,46
88,P,45
89,P,50
90,P,52
91,P,54
92,P,55
93,P,57
94,P,58
95,P,59
96,P,60
97,P,61
98,P,62
99,P,64
100,P,65
101,P,66
102,P,67
103,P,68
104,P,69
105,P,70
106,P,71
107,P,72
108,P,73
109,P,74
110,P,75
111,P,76
112,P,77
113,P,78
114,P,79
115,P,80
116,P,83
117,P,84
118,P,85
119,P,86
120,P,87
121,P,89
122,P,90
123,P,91
124,P,92
125,P,93
126,P,94
127,P,95
128,P,96
